ID,character,trigger,condition,order,content
,,,,,
0,engineer,proximity,opening,0,"So you finally decided to wake up, huh?"
1,engineer,onclick,opening,1,Well quit gawping and make yourself useful! I can't fix this plane without parts.
2,engineer,onclick,opening,2,I saw plenty of crashed planes on the other islands - get over there and do some salvaging!
3,engineer,onclick,opening,3,"Someone's left a boat by the shore. I checked it over, looks sturdy enough."
4,engineer,onclick,opening,4,There's a list of what I need over by those crates.
5,engineer,onclick,opening,5,What are you waiting for? We've got about four minutes before the next storm rolls in.
6,engineer,onclick,opening,6,Get on with it and let me work.
7,engineer,proximity,first return,0,"You're back! Boat didn't sink, then. What have you got for me?"
8,engineer,proximity,second return,0,What took you so long?
9,engineer,proximity,third return,0,You're getting the hang of this - what have you got there?
10,engineer,proximity,fourth return,0,"Gah, this grease gets everywhere. I can't wait to get home and have a bath."
11,engineer,proximity,fifth return,0,I can't believe I'm stuck here with thi - Oh hey you're back!
12,engineer,proximity,sixth return,0,What I'd do for a drink right now... hey pass me the sprocket wrench would you?
13,engineer,onclick,if correct items,0,Yes! This will fix the engine mounting perfectly.
14,engineer,onclick,if correct items,1,"What do you want, a medal? Get back out there!"
15,engineer,onclick,if correct items,0,"Well look at you, like a puppy with the mail."
16,engineer,onclick,if correct items,1,"This is perfect. Thank you, dear."
17,engineer,onclick,if correct items,0,"I think if I hook it up right, this could be a replacement compressor fan."
18,engineer,onclick,if correct items,1,"I wouldn't call it 'dangerous' dear, no. Don't be so alarmist."
19,engineer,onclick,if correct items,0,"I wouldn't normally use this sort of stabiliser spring, but needs must."
20,engineer,onclick,if correct items,1,It's either use this or be stuck here forever.
21,engineer,onclick,if incorrect items,0,That's not what I asked for - check the list by the crates!
22,engineer,onclick,if incorrect items,1,"I'm not asking for the world, here."
23,engineer,onclick,if incorrect items,0,"Don't be a fool, I need a screw lug, not a spark plug!"
24,engineer,onclick,if incorrect items,1,"Honestly, I don't know how they let you fly this thing."
25,engineer,onclick,if incorrect items,0,"Jesus, can't you read?! Why would you bring me an afterburner foretube?"
26,engineer,onclick,if incorrect items,1,My mother warned me about women like you.
27,engineer,onclick,if incorrect items,0,Did you get that from a plane engine or a steam engine?
28,engineer,onclick,if incorrect items,1,"Of course it's not going to fit, you damn fool!"
